Country,Students,Population,Continent
Argentina,108373,43590368,South America
Australia,743627,24190907,Oceania
Austria,134477,8736668,Europe
Bangladesh,62716,157970840,Asia
Belarus,29303,9501534,Europe
Belgium,169661,11331422,Europe
Brazil,534688,206163058,South America
Canada,717054,36109487,North America
Chile,116026,18209068,South America
China,1235359,1378665000,Asia
Colombia,54645,48171392,South America
Cyprus,6880,1170187,Europe
Czech Republic,203321,10566332,Europe
Denmark,119355,5728010,Europe
Egypt,376189,94447072,Africa
Estonia,24330,1315790,Europe
Finland,106165,5495303,Europe
France,692938,66724104,Europe
Germany,948489,82348669,Europe
Ghana,37274,28481946,Africa
Greece,202013,10775971,Europe
Hong Kong,91656,7336600,Asia
Hungary,138282,9814023,Europe
Iceland,13960,335439,Europe
India,191154,1324509589,Asia
Indonesia,43565,261554226,Asia
Iran,138992,79564016,Asia
Ireland,112309,4755335,Europe
Israel,107400,8546000,Asia
Italy,1243124,60627498,Europe
Japan,563422,126994511,Asia
Jordan,60263,9551467,Europe
Kenya,72676,49051686,Africa
Latvia,15100,1959537,Europe
Lebanon,7695,6711121,Asia
Lithuania,19019,2868231,Europe
Luxembourg,5144,582014,Europe
Macau,8521,612836,Asia
Malaysia,161827,30684804,Asia
Mexico,151731,123333376,North America
Morocco,56060,35126296,Africa
Netherlands,225877,17030314,Europe
New Zealand,125957,4693200,Oceania
Nigeria,26247,185960289,Africa
Norway,66541,5234519,Europe
Oman,7089,4479219,Asia
Pakistan,22496,203627284,Asia
Poland,260882,37970087,Europe
Portugal,163890,10325452,Europe
Qatar,9583,2654374,Asia
Romania,108378,19702267,Europe
Russia,214008,144342396,Europe
Saudi Arabia,83453,32442572,Asia
Serbia,96968,7058322,Europe
Singapore,56620,5607283,Asia
Slovakia,37279,5442001,Europe
Slovenia,63352,2065042,Europe
South Africa,330198,56203654,Africa
South Korea,442372,25307744,Asia
Spain,830331,46484062,Europe
Sweden,187293,9923085,Europe
Switzerland,130940,8373338,Europe
Taiwan,308940,23618200,Asia
Thailand,210122,68971331,Asia
Turkey,639342,79821724,Asia
Uganda,37340,39647506,Africa
Ukraine,37096,45004674,Europe
United Arab Emirates,14447,9360980,Asia
United Kingdom,1324842,65611593,Europe
United States of America,3273217,322941311,North America
