Country,num_students,Population
Argentina,108373,45267449
Australia,3082024,25550683
Austria,668005,9015361
Bangladesh,62716,164972348
Belarus,29303,9448772
Belgium,922974,11598451
Brazil,968676,212821986
Canada,3371575,37799407
Chile,152819,19144605
China,2930332,1440297825
Colombia,101964,50976248
Cyprus,6880,1208886
Czech Republic,409073,10712481
Denmark,585033,5795780
Egypt,631051,102659126
Estonia,55137,1326693
Finland,428705,5542237
France,1583826,65298930
Germany,4181907,83830972
Ghana,37274,31181428
Greece,260613,10413936
Hong Kong,522005,7507523
Hungary,138282,9655983
Iceland,69800,341628
India,311412,1382345085
Indonesia,43565,274021604
Iran,193864,84176929
Israel,346679,8678517
Italy,3930512,60446035
Japan,1641882,126407422
Jordan,60263,10220604
Kenya,72676,53968739
Latvia,15100,1882408
Lebanon,7695,6819976
Lithuania,19019,2715340
Luxembourg,5144,627704
Macau,17042,650846
Malaysia,161827,32436963
Mexico,289109,129166028
Morocco,112120,36985624
Netherlands,1314347,17141544
New Zealand,545446,4829021
Nigeria,26247,206984347
Norway,344328,5428594
Oman,7089,5128058
Pakistan,22496,221612785
Poland,543720,37839255
Portugal,430413,10191409
Qatar,9583,2889284
Ireland,445799,4947267
Romania,108378,19214608
Russia,373064,145945524
Saudi Arabia,195897,34905942
Serbia,96968,8731081
Singapore,339720,5858322
Slovakia,37279,5460109
Slovenia,63352,2078989
South Africa,641650,59436725
South Korea,1037911,51276977
Spain,1825371,46757980
Sweden,1010260,10110233
Switzerland,694070,8665615
Taiwan,780527,23824369
Thailand,290897,69830779
Turkey,968664,84495243
Uganda,37340,45974931
Ukraine,37096,43686577
United Arab Emirates,14447,9910892
United Kingdom,4926093,67948282
United States of America,15030134,331341050
